,Short_description,Description,Caller,Assignment_group,clean_desc
2291,microsoft outlook issue,"hi team,

i am unable to get mails intermittently during these time i need to update the folder to get the mails, sometimes it does not work like that too. can you please look into this issue. ",wczegmok bgqoclvs,0,microsoft outlook issue team unable get mail intermittently during these time need update the folder sometimes do not work like that too can - please look into this
2292,upgrade to office 2016,"currently there are two versions of office on my computer installed - office 2013 in the 64 bit folder and office 2013 in the 32 bit folder.
pls delete the old 2013 and repair the new one.",zmnhfcbv azdnkmul,0,upgrade office currently there be two version computer instal the bit folder and pls delete old repair new one
2293,erp intercompany inwarehouse_tool issue sto - 4908197080,"from: batia ben-shloosh 
sent: wednesday, september 28, 2016 8:06 pm
to:huji uhytry; rujteoza mcoswhjuanthila; yayuel sayatgr
cc: hkfipags sdilxrfk; rzucjgvp ioqjgmah; jhdythua htayhil; udmbwocs kegsjdva
subject: re: mm6599468 - d.n. 9169446361

hello ,

please find the lauacyltoe hxgaycze sto - 5019208191.

please be informed that the same currency problem has occurred on a new shipment under the above d.n.
for 8 pcs mm6599468 under d.n. 9169446361  the inwarehouse_tool 0811166205 show the total amount of us$ 71.80.15.0712, the real value which show on the sto number 5019286181  is 126.61$ for each.

please check the issue urgently,   the shipment is currently hold in our warehouse.


please see the below correspondence on the previous shipment from june 2016.

",tqfnalpj qyoscnge,2,erp intercompany inwarehousetool issue sto batia ben shloosh wednesday september huji uhytry rujteoza mcoswhjuanthila yayuel sayatgr hkfipags sdilxrfk rzucjgvp ioqjgmah jhdythua htayhil udmbwocs kegsjdva please find the lauacyltoe hxgaycze inform that same currency problem have occur new shipment under above for pc show total amount real value which number each check urgently currently hold - warehouse see below correspondence previous june
2294,login is not possible ??,"

received from: lgeuniqf.ijsnyxgf@gmail.com

hallo kollegen,

bitte mal prÃ¼fen, warum der kollege diehm diese frage gestellt bekommt auf nein klickt & sich dann nicht einloggen kann?

dank & gruÃŸ


[cid:hardcopy-cid]
",lgeuniqf ijsnyxgf,0,login not possible fellow colleague please check why diehm get this question click and then can log thank gruay cid hardcopy
2295,erp user id & password not working,"

received from: ploxzuts.utvimnwo@gmail.com

dear sir/madam,

pl do the needful regarding the subject matheywter (message shown is wrong user id & password )

fyi & na

warm ",ploxzuts utvimnwo,0,erp user password not work dear sir madam the needful regard matheywter message show wrong fyi warm
2296,could not logon to erp via vpn,"error message in both systems SID_34 / SID_1:

partner 62.157.140.133:3200 not reached. error no 10061: connection refused",skocrqdw pexcdfao,0,could not logon erp via vpnerror message both system sid partner reach error connection refuse
2297,job Job_593 failed in job_scheduler at: 10/05/2016 04:17:00  ,"received from: monitoring_tool@company.com

job Job_593 failed in job_scheduler at: 10/05/2016 04:17:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
2298,please create dn from plant_105 to plant_212 on 1 pc of mm3954300,we can not create please create dn from plant_105 to plant_212 on 1 pc of mm4065411? urgent  - shipping point dns1.,ylitqvaj ljxdfhus,56,please create plant can not urgent shipping point dn
2299,lean certificates not getting sent automatically,"hi khadfhty,

today, i created another lean event but still the certificates are not sent automatically to the recipient's. i can see the certificates in the certificate list section. also, co-facilitator 2 name is not appearing in the certificate. same happened for the past event too.

request you to kindly fix this issue on priority.
",fohvgnkd stfmcapj,8,lean certificate not get automatically khadfhty create another event but still the be recipient can see list section also facilitator appear same happen for past too request - kindly fix this issue priority
2300,windows password reset,windows password reset,dpajkrhy hwvjympt,0,windows password resetwindow reset
2301,probleme mit alicona nach update \jionmpsf wnkpzcmv,probleme mit alicona nach update \jionmpsf wnkpzcmv,jionmpsf wnkpzcmv,17,problem with alicona after update jionmpsf wnkpzcmv
2302,setup we_wu73 \jionmpsf wnkpzcmv,setup we_wu73 \jionmpsf wnkpzcmv,jionmpsf wnkpzcmv,17,setup wewu jionmpsf wnkpzcmvsetup wnkpzcmv
2303,chg1145744 - stop the reminders ,"

received from: atdclmyi.wqxzaysu@gmail.com

hello ,

i have received ten mails so far on approval of the above ticket . sample mail attached . pl take immediate steps to stop these reminders as i have already approved the ticket.



best ",atdclmyi wqxzaysu,0,chg stop the reminder have ten mail far approval above ticket sample attach take immediate step these already approve best
2304,reset password,"

received from: uijxpazn.gvtzlphs@gmail.com

dear all,

could you please reset password for dpajkrhy hwvjympt (websty12) immediately and let me know.


best ",uijxpazn gvtzlphs,0,reset password dear all could - please for dpajkrhy hwvjympt websty immediately and let know good
2305,job Job_1351 failed in job_scheduler at: 10/05/2016 02:34:00  ,"received from: monitoring_tool@company.com

job Job_1351 failed in job_scheduler at: 10/05/2016 02:34:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
2306,issue with engineering_tooled software,"

received from: ntuhoafg.bzwefjvk@gmail.com

hello,

i am not able to see option for creating new customer & new dealer names in the engineering tool software, please help me to resolve the issue.

[cid:image001.jpg@01SID_35eff.5e2f2f10]


",ntuhoafg bzwefjvk,18,issue with engineeringtoole software not able see option for create new customer dealer the engineering tool please help resolve cid
2307,probleme beim zugriff auf zeichnungen - netweaver business clint,"

received from: ecoljnvt.lbdqmvfs@gmail.com

sehr geehrte kollegen,

ich kann den netweaver business clint nicht Ã¶ffnen.

wenn ich auf die entsprechende app drÃ¼cke (Ã¼ber vpn bereits verbunden), dann kommt folgender hinweis:

[cid:image001.png@01SID_35ee0.18647971]

bitte um ihre unterstÃ¼tzung

mit freundlichen grÃ¼ÃŸen / best ",ecoljnvt lbdqmvfs,0,draw access problem netweaver business clint dear colleague can not monkey the when press corresponding app ber vpn already connect follow message appear cid please support with friendly gra ayen best
2308,job Job_2049 failed in job_scheduler at: 10/05/2016 02:10:00  ,"received from: monitoring_tool@company.com

job Job_2049 failed in job_scheduler at: 10/05/2016 02:10:00",bpctwhsn kzqsbmtp,56,job fail jobscheduler
2309,outlook & crm not getting sync,outlook & crm not getting sync,dijxefrq nbgykjpr,0,outlook crm not get syncoutlook sync
2310,account locked in ad,account locked in ad,zvenmiap kocjpnle,0,account lock adaccount
2311,seek support_network related issue.,"

received from: utoegyqx.lhosidqg@gmail.com

hello,

i am not able to access erp and other files through network.
i am facing this problem from past 3 weeks on daily basis , the issues are  addressed to local it team and getting it resolved on case to case basis.
it is causing lot of disturbance .

seek suppor to resolve the issue.

below is the error message when i tried to log in for SID_34.

[cid:image001.jpg@01SID_35ef9.a78c5e90]

and each day when i connect to network i am connected to companyguest network, i need to change it to companysecure. after this also i am facing problems.

",utoegyqx lhosidqg,11,seek supportnetwork related issue not able access erp and other file through network face this problem past week daily basis the be address local team get resolve case cause lot disturbance suppor below error message when try log for sid cid each day connect companyguest need change companysecure after also
2312,job Job_1384 failed in job_scheduler at: 10/05/2016 01:42:00  ,"received from: monitoring_tool@company.com

job Job_1384 failed in job_scheduler at: 10/05/2016 01:42:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
2313,interface: fastethernet0/2 Â· timeclock on clhr_toollant(41.10.34.08611 ) is down since 8:35pm on 10/04/16,interface: fastethernet0/2 Â· timeclock on clhr_toollant(41.10.34.08611 ) is down since 8:35pm on 10/04/16,dkmcfreg anwmfvlg,72,interface fastethernet timeclock clhrtoollant down since
2314,job Job_1346 failed in job_scheduler at: 10/05/2016 01:40:00  ,"received from: monitoring_tool@company.com

job Job_1346 failed in job_scheduler at: 10/05/2016 01:40:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
2315,job Job_1391 failed in job_scheduler at: 10/05/2016 01:39:00  ,"received from: monitoring_tool@company.com

job Job_1391 failed in job_scheduler at: 10/05/2016 01:39:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
2316,can't access erp by vpn,"

received from: ovhtgsxd.dcqhnrmy@gmail.com

it help,

i can't login erp SID_34 from home by vpn with error message below,  can you help?


[cid:image001.png@01SID_35f0c.dcfb21c0]


juhu jojfufn
ap logistics manager
e: ovhtgsxd.dcqhnrmy@gmail.com<mailto:ovhtgsxd.dcqhnrmy@gmail.com>



æœ¬è®¯æ¯ä»…ä¾›æŒ‡å®šçš„æŽ¥æ”¶äººä½¿ç”¨ï¼Œå…¶ä¸­å¯èƒ½åŒ…å«é€‚ç”¨æ³•å¾‹é¡¹ä¸‹ç‰¹è®¸çš„ã€ä¿å¯†çš„å’Œç¦æ­¢æŠ«éœ²çš„å†…å®¹ã€‚é™¤æŒ‡å®šçš„æŽ¥æ”¶äººå¤–ï¼Œä¸¥ç¦å…¶ä»–ä»»ä½•äººä¼ æ’­ã€åˆ†å‘æˆ–å¤åˆ¶æœ¬è®¯æ¯ã€‚å¦‚æžœæ‚¨è¯¯æ”¶åˆ°æœ¬è®¯æ¯ï¼Œè¯·é€šçŸ¥å‘ä»¶äººå¹¶å°†è®¯æ¯åˆ é™¤ã€‚
[
select the following link to view the disclaimer in an alternate language. ",ovhtgsxd dcqhnrmy,0,can not access erp vpn help login sid home with error message below - cid juhu jojfufn logistics manager mailto ascszaooa aec csaaa csacse csa aetmascszaooai aaa aooa aaaaae aaz escyaaaooa etma
2317,ey consultant is unable to login to citrix. attached the error screenshot.,"ey consultant is unable to login to citrix. attached the error screenshot.
kindly do the needful.",ythucdjx mujfrsyl,4,consultant unable login citrix attach the error screenshot kindly needful
2318,unable to login to engineering tool ,unable to login to engineering tool ,rzikhjae tzekbfjx,0,unable login engineering tool
2319,job Job_2573 failed in job_scheduler at: 10/05/2016 00:02:00  ,"received from: monitoring_tool@company.com

job Job_2573 failed in job_scheduler at: 10/05/2016 00:02:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
2320,unable to login to engineering tool ,unable to login to engineering tool ,bslwfqcv xqaheoim,0,unable login engineering tool
2321,"australia, australia is currently experiencing very long loading times for erp. ","name:elituyt
language:
browser:microsoft internet explorer
email:byhtu_47@gmail.com
customer number:
telephone:
summary:australia, australia is currently experiencing very long loading times for erp. can you please look into this?",uisewznr ewtmkphs,0,australia currently experience very long loading time for erp elituyt language browser microsoft internet explorer email customer number telephone summary can - please look into this
2322,erp ,"

received from: duoyrpvi.wgjpviul@gmail.com

hi,

my erp is running incredibly slow and it tries to load pages and then kicks me out with the below.

[cid:image001.png@01SID_35f0a.5f8ac670]

kind, ",nehxmtpg xepltzqf,0,erp run incredibly slow and try load page then kick out with the below cid kind
2323,erp very slow - happens every night starting at 9:45 pm,"name:fyzceglp vfnraqxc
language:
browser:microsoft internet explorer
email:fyzceglp.vfnraqxc@gmail.com
customer number:
telephone:
summary:erp very slow - happens every night starting at 9:45 pm",fyzceglp vfnraqxc,10,erp very slow happen every night start fyzceglp vfnraqxc language browser microsoft internet explorer email customer number telephone summary
2324,job Job_3052 failed in job_scheduler at: 10/04/2016 22:41:00  ,"received from: monitoring_tool@company.com

job Job_3052 failed in job_scheduler at: 10/04/2016 22:41:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
2325,vip-processed payment - potentional security attempt,"from: xmjwanes astmvqhc 
sent: wednesday, october 05, 2016 12:14 am
to: nwfodmhc exurcwkm
subject: rakthyesh fw: processed payment - potentional security attempt

do not open.......see the attached received earlier today.    

marc

xmjwanes astmvqhc
director, human resources
xmjwanes.astmvqhc@gmail.com


-----original message-----
from: ghyaniel@dealgce.com [mailto:ghyaniel@dealgce.com] 
sent: tuesday, october 04, 2016 12:56 pm
to: xmjwanes astmvqhc; naffwflie.hyhtard@kronsnwdg.com; agthynew@kw.com
subject: processed payment

i made a list with the items i need and can find on company.com do you offer discounts for bulk orders?
you can find my contact details and the item list attached.

",xmjwanes astmvqhc,19,vip process payment potentional security attempt xmjwanes astmvqhc wednesday october nwfodmhc exurcwkm rakthyesh not open see the attach early marc director human resource original message mailto tuesday make list with item need and can find company com - offer discount for bulk order contact detail
2326,window locked for user id - laijuttryhr,"

received from: wyxqkzmf.urigtqnp@gmail.com

hi help desk team

my window id locked.  please assist to unlock immediately.  ",wyxqkzmf urigtqnp,0,window lock for user laijuttryhr help desk team please assist unlock immediately
2327,ticket update on inplant_866566,ticket update on inplant_866566,fumkcsji sarmtlhy,0,ticket update inplant
2328,job bkwin_HostName_768_inc failed in job_scheduler at: 10/04/2016 19:28:00  ,"received from: monitoring_tool@company.com

job bkwin_HostName_768_inc failed in job_scheduler at: 10/04/2016 19:28:00",bpctwhsn kzqsbmtp,72,job bkwinhost inc fail jobscheduler
2329,ticket update on inplant_866142,ticket update on inplant_866142,fumkcsji sarmtlhy,0,ticket update inplant
2330,ticket update on inplant_866570,ticket update on inplant_866570,fumkcsji sarmtlhy,0,ticket update inplant
2331,job Job_2573 failed in job_scheduler at: 10/04/2016 18:00:00  ,"received from: monitoring_tool@company.com

job Job_2573 failed in job_scheduler at: 10/04/2016 18:00:00",bpctwhsn kzqsbmtp,39,job fail jobscheduler
2332,missing owtlmpuv oicrjsfh in my team calendar page ,"

received from: oetlgbfw.bsctrnwp@gmail.com

i am missing one person from my gl2 team on the calendar page

dthyan matheywtyuews
sales manager gl2
oetlgbfw.bsctrnwp@gmail.com<mailto:oetlgbfw.bsctrnwp@gmail.com>

",oetlgbfw bsctrnwp,0,miss owtlmpuv oicrjsfh team calendar page one person the dthyan matheywtyuews sales manager mailto
2333,unable to connect to vpn while updating passwords,unable to connect to vpn while updating passwords,uyhceqzr tpbdwiyv,0,unable connect vpn while update passwordsunable password
2334,password expired,password expired,uyhceqzr tpbdwiyv,0,password expiredpassword expire
2335,ms crm dynamics error : outlook addin ,ms crm dynamics error : outlook addin ,eziswfym cehwzojy,0,crm dynamics error outlook addin
2336,user wants crm mobile app to be donwloaded on mobile,user wants crm mobile app to be donwloaded on mobile,kupqvfaz mvcnylsx,0,user want crm mobile app donwloade mobileuser
2337,access denied to collaboration_platform.,"i cannot access or go to libraries in collaboration_platform. i need to access this for applications support calls and e-mails. i'm having to transfer to other members, or put the calls on hold while someone else may be available to search for me.
this is the message i am getting. 

if this problem persists, contact your support team and include these technical details: 
correlation id: eb36aa9d-a0d2-3000-b1d3-a16127465a9a 
date and time: 10/4/2016 12:53:18 pm 
user: wfzgituk.rxvqzopt@gmail.com 
issue type: user does not have permissions. ",wfzgituk rxvqzopt,8,access deny collaborationplatform can not library need this for application support call and mail iam have transfer other member put the hold while someone else may available search message get problem persist contact - team include these technical detail correlation date time user issue type do permission
2338,need crm added to outlook ribbon in microsoft outlook for crm mfg_tooltion,need crm added to outlook ribbon in microsoft outlook for crm mfg_tooltion,kupqvfaz mvcnylsx,0,need crm add outlook ribbon microsoft for mfgtooltionneed mfgtooltion
2339,power management query ,power management query ,qftpazns fxpnytmk,0,power management query
2340,vip 2-unable to load collaboration_platform site,unable to load collaboration_platform site,ihozauxs ohdqmipz,0,vip unable load collaborationplatform siteunable site
2341,company home page not loading,"

received from: gvcfhwjy.lyxcorqb@gmail.com

[cid:image001.jpg@01SID_35e4a.ce720dc0]

best ",gvcfhwjy lyxcorqb,0,company home page not load cid good
2342,usa me access to : t:\finance\corporateaccounting\partner\cash & bank reconciliations\misc. cash\account 10134141,"from: pjxclyhs fcniljtu 
sent: tuesday, october 04, 2016 6:59 pm
to: nwfodmhc exurcwkm
cc: jwoiyzfp zlftrkpq; liz domasky
subject: trupthyti fw: folder access -ticket_no1556086

please usa me read only access to the following folder:

t:\finance\corporateaccounting\partner\cash & bank reconciliations\misc. cash\account 21245252


kind ",pjxclyhs fcniljtu,28,usa access finance corporateaccounte partner cash bank reconciliation misc account pjxclyhs fcniljtu tuesday october nwfodmhc exurcwkm jwoiyzfp zlftrkpq liz domasky trupthyti folder ticketno please read only the follow kind
2343,lhqsm68267( patching_antivirus_sw  prod ):node lhqsm68267 located at usa is down since 3:04 pm et on 10/04.,lhqsm68267( patching_antivirus_sw  prod ):node lhqsm68267 located at usa is down since 3:04 pm et on 10/04.,oldrctiu bxurpsyi,4,lhqsm patchingantivirussw prod node locate usa down since
2344,unable to load outlook,unable to load outlook,utdlmzyb dvfpraeg,0,unable load outlookunable outlook
2345,collaboration_platform not working ; server is busy /unavailable ,collaboration_platform not working ; server is busy /unavailable ,lwgytuxq qspdztiw,8,collaborationplatform not work server busy unavailable
2346,urgent help required- outlook to crm mfg_tooltion issue.,"royhtub haujtimpton,
unable to access crm thru outlook.",dbroehva dgcyvxhw,0,urgent help require outlook crm mfgtooltion issue royhtub haujtimpton unable access thru
2347,change of owner on collaboration_platform link,change of owner on collaboration_platform link,kvrmnuix yicpojmf,0,change owner collaborationplatform linkchange link
2348,coffee spillage on keybankrd ,coffee spillage on keybankrd ,fwgdbatq qgownfkv,23,coffee spillage keybankrd
2349,"can you please check â€“ marftgytin hÃ¶pfner (userid: hoepftyhum, # 59146) gets the crm error message when trying to open the ""fore","can you please check â€“ marftgytin hÃ¶pfner (userid: hoepftyhum, # 59146786) gets the crm error message when trying to open the ""forecast to plan"" dashbankrd.",karoyclq ivlabkhu,15,can - please check marftgytin hapfner userid hoepftyhum get the crm error message when try open forecan forecast plan dashbankrd
2350,saved over excel file,"

received from: qzixratf.wrygjncl@gmail.com

i have accidentally 'saved as' an excel spreadsheet over another file. is there a way to recover to a few days ago?

",qzixratf wrygjncl,0,save over excel file have accidentally spreadsheet another there way recover few day ago
2351,query on crm app,query on crm app,dpcxyjlz fuqzbetw,0,query crm appquery app
2352,printer -08,configure the id 08 printer on the laptop.,kdhztcva smpynjae,11,printer configure the laptop
2353,locked out of poruxnwb yfaqhceo,"received from: hwbukcsm.hwobikcv@gmail.com

hi there,

i tried changing my password in the poruxnwb yfaqhceo yesterday (oracle fusion middleware â€“ production 11g) and after entering my old and new passwords, the log in box kept popping up but did not let me log in. i somehow backed out of it and it let me access the system.

today neither the old or new password will work. i have had this happen in the past and szewiguc nvajphfm would unlock it for me.

can someone help me get this corrected?


",hwbukcsm hwobikcv,1,lock out poruxnwb yfaqhceo there try change password the oracle fusion middleware production and after enter old new log box keep pop but do not let somehow back access system neither will work have this happen past szewiguc nvajphfm would unlock for can someone help get correct
2354,no audio on lat 7350,no audio on lat 7350,gbirhjat fptbrhwv,0,audio year
2355,windows password reset,windows password reset,kiqrvwat gwkpxzyt,0,windows password resetwindow reset
2356,"circuit outage: south_amerirtca, south_amerirtca vpn router is down at 12:23 pm et on 10/04. site is up on primary.","what type of outage:  _____network     __x___circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____no    (yes/no/na) 

2. when did it start  ?   ______12:23 pm et on 10/04._______________

3.  scheduled maintenance ( power) ? ____no___    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   ___yes_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___na________   (yes/no/na) 

9. equipment reset ?    ______na_____    (yes/no/na) 

10. verified site working on backup circuit ?  __yes_____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",rkupnshb gsmzfojw,72,circuit outage southamerirtca vpn router down site primary what type network xcircuit power please specify top cert yes when do start schedule maintenance company provider maint ticket have backup active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
2357,issues with user profiles on HostName_108,"user profiles seem to be messed up on this server and not creating. when trying to investigate a monitoring_tool monitoring issue i came across the error message in the attached screenshot.

please investigate. ",boxrlpec fnkhwytl,4,issue with user profile host seem mess this server and not create when try investigate monitoringtool monitoring come across the error message attach screenshot please
2358,renew internal certificate for password_management_tool id password manager,"hello ,

as discussed, please assist on renewing the internal certificate for password_management_tool id password manager tool.

",ugyothfz ugrmkdhx,33,renew internal certificate for passwordmanagementtool password manager discuss please assist the tool
2359,ticket upadate on :inplant_866142,ticket upadate on :inplant_866142,efbwiadp dicafxhv,0,ticket update inplant
2360,erp SID_34 password reset ,erp SID_34 password reset ,varldgiw hfyogqnj,0,erp sid password reset
2361,job Job_1387 failed in job_scheduler at: 10/04/2016 11:17:00  ,"received from: monitoring_tool@company.com

job Job_1387 failed in job_scheduler at: 10/04/2016 11:17:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
2362,urgent : not able to share company catalog data with external user...,"
summary:who can help me with collaboration_platform issues?
i have shared directory and files on collaboration_platform with an external user, but it is telling me ""only you"" under the shared with column",hbmwlprq ilfvyodx,8,urgent not able share company catalog datum with external user summary who can help collaborationplatform issue have directory and file but tell only - under the column
2363,users at usa are not receiving inbound external calls,"users at usa are not receiving inbound external calls

internal extension to extension calls are working and outbound calls are working 
",gvxfymjk euioadyf,31,user usa be not receive inbound external callsuser call internal extension work and outbound
2364,missing email access:  k-amerirtcas.hrss@company.com,"i previously had access to the amerirtcas_hrssc mail box on outlook, but it is no longer available to me.  can this be re-set up?

vpksyfco chosuygq

",vpksyfco chosuygq,0,miss email access previously have the amerirtcashrssc mail box outlook but longer available can this set vpksyfco chosuygq
2365,unlock and reset password user ( vvamrtryot ) ,"just to inform you that user vvamrtryot seems has expired the password in SID_21, SID_1, SID_34.
we couldn't proceed checking, can you also reset the password?
",gdsjrxwl pzhyxdiq,12,unlock and reset password user vvamrtryot just inform - that seem have expire the sid could not proceed check can also
2366,outlook stuck on processing ,outlook stuck on processing ,hybiaxlk lawptzir,0,outlook stick processing
2367,erp gui is missing login options for xhaomnjl ctusaqpr,erp gui is missing login options for xhaomnjl ctusaqpr,olckhmvx pcqobjnd,0,erp gui miss login option for xhaomnjl ctusaqprerp ctusaqpr
2368,xhaomnjl ctusaqpr called for erp account unlock,xhaomnjl ctusaqpr called for erp account unlock,olckhmvx pcqobjnd,0,xhaomnjl ctusaqpr call for erp account unlockxhaomnjl unlock
2369,windows acccount lockout,windows acccount lockout,rguyoajm zfcquswp,0,windows acccount lockoutwindow lockout
2370,"update inwarehouse_tool documents from list for sales org 12032, 12035 and 12036","with the germany office move the main inwarehouse_tool printer fd37v got temporarily totally deleted by accident from erp. a big bulk of inwarehouse_tools was already reissued, but there are billing documents dated august 26 - 29, 2016 that do not have any output yet at all. - see lists attached.

if an update is done on the billing via vf02, the correct output type gets automatically added. therefore we need to have a mass update done (just go to change mode and save), so that the missing printouts get added and issued to the appropriate printer. (billings with existing output might be amongst the list, these are good and no action is required.)

*************
important: *
*************
if the mass update is done, please don't do it any any regular billing job times and note the issued documents from erp spool. the list of billings attached might also have documents with output assigned to other printers than fd37v. these billings are correct.
accounting department, however, would need to have a list of all billings where the output now would get generated, as the customer might get reminders or dunnings for the same. we need to clearly trace these billing documents with output only now generated for audit reasons. we need to get the print outs as soon as possible. please help to support this request as soon as possible as some customers get annoyed with wrong dunnings.

if you have questions, don't hesitate to contact me. 
",mynfoicj riuvxdas,5,update inwarehousetool document list for sale org and with the germany office move main printer get temporarily totally delete accident erp big bulk be already reissue but there billing date august that not have any output yet all see attach do via correct type automatically add therefore need mass just change mode save miss printout issue appropriate exist may amongst these good action require important please regular job time note spool also assign other than accounting department however would where now generate customer reminder dunning same clearly trace only audit reason print out soon possible help support this request some annoy wrong - question hesitate contact
2371,clients laptop will not turn on,clients laptop will not turn on,zhvrtnom waedkqzj,23,client laptop will not turn onclient
2372,erp SID_34 password reset,erp SID_34 password reset,rkimfqta oepigwmr,0,erp sid password reseterp reset
2373,"product management master, key figures dierppear ","sample before refresh

 


after refresh

 



best ",uwofavej hxyatnjc,73,product management master key figure dierppear sample before refresh after best
2374,i received an error when trying to log in to do my ethics for q2.,"error i received says ""our records indicate your log in credentials used to access the site from the company's collaboration_platform do not match the records we have on file within the active directory.""",jmxrabzy dpyvjcxr,0,error when try log ethic for say - record indicate credential use access the site company collaborationplatform not match have file within active directory
2375,email address: dbryhtuown@task.com has been newly blocked from sending attachments. please remove the block.,email address: dbryhtuown@task.com has been newly blocked from sending attachments. please remove the block.,lkmhgiwv omkfxdcq,19,email address have be newly block send attachment please remove the
2376,erp font small.,"i've received a new laptop (latitude 7275), after the image installation the  (erp) has e very little definition. when i try to logon i can see only very little charatcher.. do you have some indications ?",cgxhmrvu dbwspjet,0,erp font small new laptop latitude after the image installation have very little definition when try logon can see only charatcher - some indication
2377,skype login after changing password,"

received from: doxiqkws.uvrzcqmf@gmail.com

hello,

i recently changed my company network password (log in, email, vpn, etc.) and cannot sign in to skype for business anymore. i get a notification saying there was a problem acquiring a personal certificate:

[cid:image001.png@01SID_35e11.eafad4b0]

any assistance you can provide would be greatly appreciated.

",doxiqkws uvrzcqmf,0,skype login after change password recently company network log email vpn etc and can not sign for business anymore get notification say there be problem acquire personal certificate cid any assistance - provide would greatly appreciate
2378,second monitor not working,"

received from: iqcylpok.ascpqvni@gmail.com

hello,

my second monitor stopped working, cannot get a picture on it. can someone please come and take a look at it? ",iqcylpok ascpqvni,23,monitor not work stop can get picture someone please come and take look
2379,reset the password for fueiklyv jargqpkm on erp / production / erp,please reset my password for SID_34 erp production and SID_37 bw production,fueiklyv jargqpkm,0,reset the password for fueiklyv jargqpkm erp production erpplease sid and
2380,i need removed from my profile,i updated my profile in the new single sign on and yet still appears.  it has affected my number in outlook as well as anyone who has me in their contact list.  the only number that should be associated with my profile is .  if you do an employee search from outlook you will see the number.,yrhnxpvi drlbzqpi,12,need remove profilei update profile the new single sign and yet still appear have affect number outlook well anyone who - contact list only that should associate with employee search will see
2381,password reset ,"    request to reset user's password   
   the following user in your organization has requested a password reset be performed for their account: 

â€¢ apokrfjv.mdiepcul@gmail.com 
â€¢ first name: donnathyr 
â€¢ last name: welling 

consider contacting this user to validate this request is authentic before continuing. 

if you have determined that this is a valid request, use your service's admin portal (office 365, windows intune, windows azure, etc.) to reset the password for this user. 

want to let you users reset their own passwords? check out how you can enable password reset for users in your organization with just a few clicks. 

sincerely, 
company inc. 

         
   this message was sent from an unmonitored email address. please do not reply to this message. 
  

   
 
",apokrfjv mdiepcul,0,password reset request user the follow - organization have perform for account donnathyr welling consider contact this validate authentic before continue determine that valid use service admin portal office window intune azure etc want let own check out how can enable with just few click sincerely company inc message be unmonitored email address please not reply
2382,EU_tool ws ewew8323843 funktioniert nicht \jionmpsf wnkpzcmv,EU_tool ws ewew8323843 funktioniert nicht \jionmpsf wnkpzcmv,jionmpsf wnkpzcmv,17,eutool ewew do not work jionmpsf wnkpzcmveutool wnkpzcmv
2383,bluescreen ewew8323733 \wrcktgbd wzrgyunp,"hallo ,

mein pc zeigt blaue seite mit vielen weiÃŸen buchstaben.
pc nr. 212622
typ: optiplex 790

bitte helfen!

best ",wrcktgbd wzrgyunp,17,bluescreen ewew wrcktgbd wzrgyunphallo show the blue page with many white letter type optiplex please help best
2384,key figure dierppears -  urgent refer :inplant_866405,"

received from: uwofavej.hxyatnjc@gmail.com

while updating existing product management master, key figures dierppear and if shown in columns also columns dierppear and download is distrtgoyed

last month we have had the same issue as anybody made changes on the product management master
pallutyr pande corrected it back, maybe you can involve her again

we are very bussy with month end  data and immediately need the correct settings as they have been before.

sample : before refresh





best ",uwofavej hxyatnjc,73,key figure dierppear urgent refer inplant while update exist product management master and show column also download distrtgoye month have the same issue anybody make change pallutyr pande correct back maybe - can involve again be very bussy with end datum immediately need setting before sample refresh best
2385,skype issue : personal certificate error ,skype issue : personal certificate error ,keinyujo torvxeda,0,skype issue personal certificate error
